txn_date,biller_id,txn_value,txn_amount,txn_count_amt_2000_2500
2024-10-01,B058,141479,875968425.88,4155
2024-10-01,B059,61717,381278926.41,1878
2024-10-01,B060,141752,873061300.29,4281
2024-10-01,B061,48466,297054120.48,1453
2024-10-01,B062,55531,339743753.78,1722
2024-10-01,B063,100023,609547601.48,2982
2024-10-01,B064,130129,795491064.81,3930
2024-10-01,B065,145976,901534327.66,4336
2024-10-01,B066,68878,417423957.01,2012
2024-10-01,B067,110660,684825309.2,3310
2024-10-01,B068,133571,817851063.02,3940
2024-10-01,B069,79643,491809589.71,2290
2024-10-01,B070,64562,396273386.66,1968
2024-10-01,B071,141472,865030843.0,4125
2024-10-01,B072,117640,729733513.43,3488
2024-10-01,B073,98401,605249277.76,2978
2024-10-01,B074,130688,812733228.41,3916
2024-10-01,B075,102652,635906307.25,3114
2024-10-01,B076,99489,617421085.63,2959
2024-10-01,B077,136324,843814300.84,4009
2024-10-01,B078,100709,620427943.42,3013
2024-10-01,B079,93967,578364222.41,2852
2024-10-01,B080,75053,459631551.13,2275
2024-10-01,B081,149323,917361220.44,4351
2024-10-01,B082,111923,680283034.31,3403
2024-10-01,B083,61960,380585850.0,1911
2024-10-01,B084,139083,863520030.77,4040
2024-10-01,B085,113977,700721957.46,3454
2024-10-01,B086,118587,730005059.57,3505
2024-10-01,B087,145653,895887087.29,4391
2024-10-01,B088,104649,644990674.71,3134
2024-10-01,B089,66052,409252059.98,1953
2024-10-01,B090,79796,485257844.52,2402
2024-10-01,B091,119599,736522673.46,3547
2024-10-01,B092,121704,745960367.81,3575
2024-10-01,B093,117660,720361149.05,3546
2024-10-01,B094,121684,737513578.91,3569
2024-10-01,B095,106468,656087294.12,3156
2024-10-01,B096,130510,804964300.1,3844
2024-10-01,B097,100031,616866669.38,2931
2024-10-01,B098,92126,564489210.66,2747
2024-10-01,B099,76011,465540522.32,2323
2024-10-01,B100,130511,803490607.23,3914
2024-10-02,B001,119054,728400359.55,3459
2024-10-02,B002,54701,334004946.74,1618
2024-10-02,B003,128711,785198589.27,3811
2024-10-02,B004,59433,365080473.79,1723
2024-10-02,B005,110057,676650103.85,3225
2024-10-02,B006,105813,656300127.94,3277
2024-10-02,B007,106631,653966701.07,3155
2024-10-02,B008,103982,638680417.93,3070
2024-10-02,B009,65034,397188122.9,1891
2024-10-02,B010,67780,415734321.88,2023
2024-10-02,B011,136263,837977847.08,4035
2024-10-02,B012,106105,649824922.31,3172
2024-10-02,B013,123803,759656289.74,3630
2024-10-02,B014,104515,646541648.72,3203
2024-10-02,B015,131883,804932587.66,3925
2024-10-02,B016,139891,850584965.31,4162
2024-10-02,B017,107613,663326030.76,3272
2024-10-02,B018,56134,350554356.6,1629
2024-10-02,B019,80757,500321899.18,2312
2024-10-02,B020,69552,432721293.68,2000
2024-10-02,B021,73596,452862391.56,2180
2024-10-02,B022,55386,341348027.07,1701
2024-10-02,B023,130176,804313127.56,3891
2024-10-02,B024,81596,499841100.64,2417
2024-10-02,B025,141590,864172610.49,4212
2024-10-02,B026,67982,419664207.61,2109
2024-10-02,B027,114737,704095527.99,3357
2024-10-02,B028,148634,908184859.33,4424
2024-10-02,B029,91145,561352481.14,2639
2024-10-02,B030,69252,428575885.3,2081
2024-10-02,B031,70854,435053489.3,2148
2024-10-02,B032,91451,565202501.46,2699
2024-10-02,B033,66047,405981304.85,1945
2024-10-02,B034,86745,534490518.15,2599
2024-10-02,B035,101851,625040777.17,3099
2024-10-02,B036,54482,338355574.99,1663
2024-10-02,B037,102477,629076409.48,3022
2024-10-02,B038,72120,443281772.8,2168
2024-10-02,B039,79380,490511746.11,2384
2024-10-02,B040,123030,753346503.96,3667
2024-10-02,B041,126704,772681434.28,3853
2024-10-02,B042,152011,942799245.16,4622
2024-10-02,B043,78250,476293869.24,2365
2024-10-02,B044,84389,523487953.67,2466
2024-10-02,B045,142188,869543133.99,4261
2024-10-02,B046,72192,435257283.39,2150
2024-10-02,B047,98740,611504079.31,2966
2024-10-02,B048,71153,442816781.97,2077
2024-10-02,B049,56933,354168397.05,1605
2024-10-02,B050,47780,295328209.0,1450
2024-10-02,B051,89147,545934882.72,2601
2024-10-02,B052,122796,754251522.51,3645
2024-10-02,B053,67772,416731370.12,2010
2024-10-02,B054,86424,533493627.29,2635
2024-10-02,B055,138754,848179152.64,4231
2024-10-02,B056,104345,637468916.2,3076
2024-10-02,B057,137528,846087223.37,4065
2024-10-02,B058,118189,726436576.31,3540
2024-10-02,B059,76552,473236378.77,2330
2024-10-02,B060,67952,417382083.06,2019
2024-10-02,B061,109297,675010519.58,3269
2024-10-02,B062,80112,489736377.71,2361
2024-10-02,B063,104284,637813115.56,3172
2024-10-02,B064,78242,483638789.3,2350
2024-10-02,B065,78025,477799168.79,2353
2024-10-02,B066,57135,346791076.1,1666
2024-10-02,B067,112973,691392145.19,3383
2024-10-02,B068,143907,878723747.88,4302
2024-10-02,B069,149614,924363266.61,4371
2024-10-02,B070,130493,793026788.57,3879
2024-10-02,B071,122154,755728782.34,3650
2024-10-02,B072,112233,688630775.76,3378
2024-10-02,B073,124569,766376844.27,3678
2024-10-02,B074,69195,427452061.75,1983
2024-10-02,B075,100198,617014472.71,3019
2024-10-02,B076,122353,756115449.89,3613
2024-10-02,B077,76396,469698277.96,2302
2024-10-02,B078,69649,427066411.66,2067
2024-10-02,B079,115033,704991085.07,3534
2024-10-02,B080,123507,756755102.14,3700
2024-10-02,B081,102652,631578784.82,3005
2024-10-02,B082,131784,810931975.12,3906
2024-10-02,B083,76487,469882230.85,2286
2024-10-02,B084,51896,322036637.58,1546
2024-10-02,B085,107063,665386280.96,3098
2024-10-02,B086,61042,372874473.62,1815
2024-10-02,B087,119160,727480225.31,3619
2024-10-02,B088,67089,413631753.99,2036
2024-10-02,B089,59933,366891648.01,1712
2024-10-02,B090,126041,774948366.73,3721
2024-10-02,B091,67235,415747124.53,2018
2024-10-02,B092,137128,845320131.69,4044
2024-10-02,B093,104959,639150686.42,3117
2024-10-02,B094,52926,330601550.84,1646
2024-10-02,B095,66923,410022780.82,1993
2024-10-02,B096,120453,738198963.71,3555
2024-10-02,B097,104901,646145510.99,3168
2024-10-02,B098,152391,947184295.91,4536
2024-10-02,B099,124576,766760607.51,3657
2024-10-02,B100,105564,652832696.6,3167
2024-10-03,B001,108342,663427964.42,3266
2024-10-03,B002,54814,329784384.75,1566
2024-10-03,B003,61250,380918946.21,1894
2024-10-03,B004,145538,893031106.39,4402
2024-10-03,B005,86226,527492721.32,2570
2024-10-03,B006,72906,447793356.16,2145
2024-10-03,B007,110032,672444284.64,3266
2024-10-03,B008,113034,694329917.91,3397
2024-10-03,B009,56446,344913044.73,1681
2024-10-03,B010,90458,552938110.25,2663
2024-10-03,B011,103580,639718595.14,3145
2024-10-03,B012,134240,830640904.26,4065
2024-10-03,B013,143564,883229244.29,4182
2024-10-03,B014,109460,676281221.68,3295
2024-10-03,B015,123544,752042756.76,3534
2024-10-03,B016,56398,346277155.54,1675
2024-10-03,B017,89312,552376031.4,2637
2024-10-03,B018,140409,860741907.54,4248
2024-10-03,B019,76079,464134378.14,2258
2024-10-03,B020,65151,400987759.93,1995
2024-10-03,B021,143218,881003797.66,4318
2024-10-03,B022,70016,432735302.77,2004
2024-10-03,B023,143301,878757881.6,4314
2024-10-03,B024,140331,866001468.75,4234
2024-10-03,B025,72935,443669177.5,2122
2024-10-03,B026,128161,788204065.88,3803
2024-10-03,B027,101375,619430584.77,2962
2024-10-03,B028,72535,445152165.07,2095
2024-10-03,B029,96552,599184808.48,2896
2024-10-03,B030,131093,805328173.42,3952
2024-10-03,B031,132172,815459062.12,3856
2024-10-03,B032,102129,624987847.47,3028
2024-10-03,B033,132315,812526815.53,3939
2024-10-03,B034,82426,505125206.6,2485
2024-10-03,B035,57634,353814912.25,1689
2024-10-03,B036,91668,561810431.7,2731
2024-10-03,B037,57507,347544393.75,1722
2024-10-03,B038,126183,781404612.71,3813
2024-10-03,B039,69128,428554035.22,1991
2024-10-03,B040,139981,855436042.98,4138
2024-10-03,B041,76483,470626842.99,2231
2024-10-03,B042,85450,517982960.3,2447
2024-10-03,B043,82149,502284709.89,2387
2024-10-03,B044,141566,868759829.69,4271
2024-10-03,B045,103824,640633104.53,3072
2024-10-03,B046,127431,785265142.02,3837
2024-10-03,B047,51434,317492144.17,1496
2024-10-03,B048,79137,494018537.39,2352
2024-10-03,B049,128162,782748757.44,3684
2024-10-03,B050,132513,817573396.46,3909
2024-10-03,B051,71134,433405798.5,2169
2024-10-03,B052,101960,625798588.07,2990
2024-10-03,B053,122518,745644466.81,3655
2024-10-03,B054,102374,632105087.6,3084
2024-10-03,B055,78278,477029142.44,2261
2024-10-03,B056,65560,400904891.44,1945
2024-10-03,B057,80025,493998211.8,2446
2024-10-03,B058,71559,442245671.13,2173
2024-10-03,B059,126904,779211094.71,3764
2024-10-03,B060,118065,727926590.99,3476
2024-10-03,B061,95545,589041004.29,2894
2024-10-03,B062,88643,549596304.84,2617
2024-10-03,B063,98332,611808509.89,2987
2024-10-03,B064,50111,305059087.49,1547
2024-10-03,B065,57507,351980844.82,1672
2024-10-03,B066,153665,942522767.82,4675
2024-10-03,B067,131655,813979976.9,4009
2024-10-03,B068,91123,560942861.91,2718
2024-10-03,B069,77652,476170584.06,2319
2024-10-03,B070,56086,346592154.01,1628
2024-10-03,B071,82110,506436782.67,2421
2024-10-03,B072,52498,324412792.12,1505
2024-10-03,B073,145830,897893731.93,4493
2024-10-03,B074,55768,345091711.74,1666
2024-10-03,B075,123176,751914290.8,3701
2024-10-03,B076,50401,312457252.28,1522
2024-10-03,B077,88964,550168091.36,2757
2024-10-03,B078,117365,723731616.01,3462
2024-10-03,B079,82814,510458385.4,2427
2024-10-03,B080,104499,641636915.92,3159
2024-10-03,B081,130450,802175368.4,3959
2024-10-03,B082,51513,317091303.62,1490
2024-10-03,B083,66662,413352991.78,1996
2024-10-03,B084,71132,438887037.58,2052
2024-10-03,B085,59224,363249029.91,1745
2024-10-03,B086,62145,381453524.52,1792
2024-10-03,B087,82889,510660251.82,2452
2024-10-03,B088,110162,681448820.37,3216
2024-10-03,B089,149844,926431727.89,4518
2024-10-03,B090,126725,775263498.99,3750
2024-10-03,B091,102890,633498079.12,3049
2024-10-03,B092,88887,546638564.56,2661
2024-10-03,B093,128102,790857965.04,3825
2024-10-03,B094,128439,782294956.13,3889
2024-10-03,B095,78289,479461841.63,2425
2024-10-03,B096,124316,770106837.83,3728
2024-10-03,B097,66151,402730153.42,1963
2024-10-03,B098,73907,450723004.18,2203
2024-10-03,B099,65842,411229981.98,1913
2024-10-03,B100,119374,733455835.44,3561
2024-10-04,B001,116384,714530666.69,3408
2024-10-04,B002,129539,799763374.79,3876
2024-10-04,B003,122782,753276496.02,3690
2024-10-04,B004,127834,787897840.55,3762
2024-10-04,B005,119115,736750064.21,3539
2024-10-04,B006,152151,942196770.99,4684
2024-10-04,B007,78561,486604695.6,2317
2024-10-04,B008,72738,450313270.08,2203
2024-10-04,B009,66192,402883187.26,1994
2024-10-04,B010,53301,327058960.21,1597
2024-10-04,B011,105579,652304127.1,3100
2024-10-04,B012,54525,334420605.01,1656
2024-10-04,B013,54835,332945585.39,1650
2024-10-04,B014,55359,340828184.63,1675
2024-10-04,B015,71921,438000057.21,2152
2024-10-04,B016,116019,719422108.65,3419
2024-10-04,B017,149214,918960394.95,4500
2024-10-04,B018,131913,805068229.17,3986
2024-10-04,B019,89760,558999183.08,2674
2024-10-04,B020,80759,498396211.15,2355
2024-10-04,B021,114559,703206356.03,3384
2024-10-04,B022,109554,679380045.21,3280
2024-10-04,B023,118786,725419084.57,3556
2024-10-04,B024,84018,516665056.5,2480
2024-10-04,B025,99746,618268378.88,2931
2024-10-04,B026,137460,838466910.46,4190
2024-10-04,B027,103174,634511931.72,3014
2024-10-04,B028,143309,880189625.84,4232
2024-10-04,B029,119357,733620736.66,3616
2024-10-04,B030,95557,588334316.06,2833
2024-10-04,B031,54849,334546626.49,1588
2024-10-04,B032,97655,600602831.82,2877
2024-10-04,B033,65364,401184903.79,1896
2024-10-04,B034,123623,763418702.52,3738
2024-10-04,B035,109846,679977475.78,3287
2024-10-04,B036,78745,482519112.31,2293
2024-10-04,B037,139044,852915893.14,4045
2024-10-04,B038,69488,430990821.3,2045
2024-10-04,B039,94675,580487161.01,2770
2024-10-04,B040,126268,780632093.37,3815
2024-10-04,B041,95461,588982054.01,2895
2024-10-04,B042,53457,334526870.04,1572
2024-10-04,B043,153090,938191184.92,4542
2024-10-04,B044,112096,682745261.95,3290
2024-10-04,B045,58369,349672017.19,1782
2024-10-04,B046,61235,373686834.97,1810
2024-10-04,B047,94075,579238288.62,2759
2024-10-04,B048,80627,489054312.48,2483
2024-10-04,B049,74445,463758230.61,2208
2024-10-04,B050,121862,747619148.91,3700
2024-10-04,B051,137385,845766017.0,3966
2024-10-04,B052,110021,674328022.91,3355
2024-10-04,B053,93952,582359220.19,2892
2024-10-04,B054,82698,503887100.23,2431
2024-10-04,B055,81093,496994724.7,2456
2024-10-04,B056,119495,725779490.28,3593
2024-10-04,B057,86932,530807170.53,2613
2024-10-04,B058,78283,481956356.93,2377
2024-10-04,B059,102584,629117426.13,3070
2024-10-04,B060,111323,681689560.12,3250
2024-10-04,B061,61807,375168106.75,1842
2024-10-04,B062,133259,823639542.24,4089
2024-10-04,B063,69484,431898997.88,2124
2024-10-04,B064,128782,796550603.96,3953
2024-10-04,B065,101972,628991326.13,2970
2024-10-04,B066,60615,372349094.67,1807
2024-10-04,B067,111856,684764728.08,3355
2024-10-04,B068,96262,590613041.3,2906
2024-10-04,B069,97970,598612649.97,2989
2024-10-04,B070,71023,435572105.0,2069
2024-10-04,B071,129931,795287131.95,3889
2024-10-04,B072,118479,722849116.07,3517
2024-10-04,B073,84763,517599310.8,2565
2024-10-04,B074,99139,608118637.31,3020
2024-10-04,B075,96631,592860396.84,2891
2024-10-04,B076,100516,622698805.51,2898
2024-10-04,B077,79917,488871115.84,2328
2024-10-04,B078,63423,392380653.26,1910
2024-10-04,B079,119952,735888706.5,3587
2024-10-04,B080,66601,409548688.64,1996
2024-10-04,B081,103302,633072306.14,3088
2024-10-04,B082,130996,799570528.02,3958
2024-10-04,B083,126170,773456099.65,3742
2024-10-04,B084,96789,596362003.56,2832
2024-10-04,B085,78662,486808851.2,2322
2024-10-04,B086,132384,816584619.73,3892
2024-10-04,B087,100825,626245011.69,3082
2024-10-04,B088,63001,387140124.15,1932
2024-10-04,B089,83778,512687497.72,2540
2024-10-04,B090,100401,613627407.63,2972
2024-10-04,B091,90206,553413189.96,2713
2024-10-04,B092,59188,363180779.8,1770
2024-10-04,B093,115813,712107330.2,3387
2024-10-04,B094,102315,629212291.65,3035
2024-10-04,B095,138984,854093468.61,4208
2024-10-04,B096,134618,830720465.35,3990
2024-10-04,B097,138335,853241677.78,4121
2024-10-04,B098,112655,693206557.54,3476
2024-10-04,B099,67441,412859965.38,2034
2024-10-04,B100,134681,833085533.45,4050
2024-10-05,B001,146328,900010748.9,4376
2024-10-05,B002,105607,652280529.4,3114
2024-10-05,B003,90052,554283040.89,2639
2024-10-05,B004,88962,553014197.38,2556
2024-10-05,B005,131243,806326778.88,3907
2024-10-05,B006,134445,816745631.97,3972
2024-10-05,B007,122944,763649513.65,3602
2024-10-05,B008,135119,822657623.54,4011
2024-10-05,B009,64790,397956090.3,1955
2024-10-05,B010,51250,312552128.24,1531
2024-10-05,B011,135148,830133368.47,4030
2024-10-05,B012,116142,710082365.29,3429
2024-10-05,B013,95761,586397303.3,2780
2024-10-05,B014,132299,808110769.74,3900
2024-10-05,B015,141350,866765489.15,4197
2024-10-05,B016,78489,485184672.77,2270
2024-10-05,B017,69915,432851366.89,2058
2024-10-05,B018,142898,875641462.93,4231
2024-10-05,B019,68770,418879828.72,2124
2024-10-05,B020,129553,800395762.9,3901
2024-10-05,B021,118804,725026555.71,3485
2024-10-05,B022,140852,867724272.79,4187
2024-10-05,B023,128742,799635180.22,3707
2024-10-05,B024,119871,734759307.43,3594
2024-10-05,B025,142765,876039470.78,4233
2024-10-05,B026,141158,869097266.37,4160
2024-10-05,B027,93355,570880298.28,2765
2024-10-05,B028,86673,529428186.63,2641
2024-10-05,B029,143001,878124289.91,4207
2024-10-05,B030,90436,556983611.3,2699
2024-10-05,B031,100267,619338506.96,2936
2024-10-05,B032,142453,871692854.11,4251
2024-10-05,B033,118455,724575407.85,3487
2024-10-05,B034,145032,894832188.52,4311
2024-10-05,B035,75710,467136698.68,2299
2024-10-05,B036,83961,518701023.04,2518
2024-10-05,B037,80604,495722557.33,2430
2024-10-05,B038,107928,668957661.13,3227
2024-10-05,B039,85911,532002356.4,2534
2024-10-05,B040,140121,865126770.38,4185
2024-10-05,B041,143384,881774073.67,4203
2024-10-05,B042,94168,579280393.76,2890
2024-10-05,B043,69189,422625301.06,2066
2024-10-05,B044,144083,887172341.91,4245
2024-10-05,B045,78919,490692163.86,2333
2024-10-05,B046,52269,318876189.13,1539
2024-10-05,B047,147481,900030218.4,4352
2024-10-05,B048,128050,798376936.38,3830
2024-10-05,B049,138850,861225092.71,4185
2024-10-05,B050,94068,576795821.44,2857
2024-10-05,B051,116585,713623842.66,3431
2024-10-05,B052,71314,442289447.76,2179
2024-10-05,B053,138194,847248611.49,4112
2024-10-05,B054,60573,378748326.7,1817
2024-10-05,B055,113108,693640160.08,3409
2024-10-05,B056,127063,776781227.75,3673
2024-10-05,B057,92479,567554588.25,2757
2024-10-05,B058,103343,638013863.97,3133
2024-10-05,B059,123692,765741969.01,3545
2024-10-05,B060,59077,360540804.58,1792
2024-10-05,B061,106560,657488811.71,3100
2024-10-05,B062,75948,465789895.99,2291
2024-10-05,B063,139877,856414457.12,4115
2024-10-05,B064,137798,844314422.07,4146
2024-10-05,B065,53894,330247714.02,1641
2024-10-05,B066,114181,698230801.43,3326
2024-10-05,B067,69612,420925622.57,2128
2024-10-05,B068,147764,904731886.22,4436
2024-10-05,B069,131956,811796599.29,4041
2024-10-05,B070,85247,514604337.95,2536
2024-10-05,B071,72562,444182884.74,2165
2024-10-05,B072,59710,368476810.15,1760
2024-10-05,B073,93542,572962358.2,2854
2024-10-05,B074,146870,903419175.09,4380
2024-10-05,B075,103050,638634372.37,3066
2024-10-05,B076,123505,760239906.53,3654
2024-10-05,B077,69041,426792414.06,2122
2024-10-05,B078,52432,316670766.73,1544
2024-10-05,B079,133126,814720338.17,3911
2024-10-05,B080,112595,693699150.66,3392
2024-10-05,B081,77649,478226886.37,2308
2024-10-05,B082,50936,305748979.9,1500
2024-10-05,B083,110287,674870114.57,3299
2024-10-05,B084,90201,557015820.28,2684
2024-10-05,B085,71786,437109946.38,2084
2024-10-05,B086,68043,421626394.01,2035
2024-10-05,B087,72990,447478788.76,2251
2024-10-05,B088,79740,497066739.89,2364
2024-10-05,B089,67358,413573910.97,1999
2024-10-05,B090,56005,340105802.77,1630
2024-10-05,B091,124699,767500017.58,3744
2024-10-05,B092,130483,796321154.2,3893
2024-10-05,B093,135912,845167205.64,4072
2024-10-05,B094,108044,664342355.94,3236
2024-10-05,B095,100797,626835592.63,2924
2024-10-05,B096,99963,612930543.63,3036
2024-10-05,B097,147504,912177051.62,4328
2024-10-05,B098,139847,863868116.08,4066
2024-10-05,B099,109096,670408821.54,3259
2024-10-05,B100,113287,696535015.68,3390
2024-10-06,B001,142926,879778789.01,4105
2024-10-06,B002,136310,834906619.39,4099
2024-10-06,B003,47699,291430190.21,1457
2024-10-06,B004,105852,650329846.62,3216
2024-10-06,B005,106653,653181438.87,3084
2024-10-06,B006,81238,500129415.98,2443
2024-10-06,B007,114877,705522611.77,3457
2024-10-06,B008,95478,586004262.78,2949
2024-10-06,B009,57277,355486193.2,1687
2024-10-06,B010,70291,435218590.48,2106
2024-10-06,B011,61941,380522546.93,1790
2024-10-06,B012,109381,674435443.87,3311
2024-10-06,B013,110123,680830167.09,3182
2024-10-06,B014,114995,714465100.32,3449
2024-10-06,B015,71178,434637286.72,2089
2024-10-06,B016,134900,827553062.58,4109
2024-10-06,B017,56595,343892982.47,1612
2024-10-06,B018,87589,530973741.99,2630
2024-10-06,B019,114769,705097544.85,3366
2024-10-06,B020,81669,504887447.65,2442
2024-10-06,B021,125715,777428294.47,3736
2024-10-06,B022,88212,542775558.66,2598
2024-10-06,B023,106135,649237508.98,3214
2024-10-06,B024,65807,405017387.39,1977
2024-10-06,B025,93598,571119444.17,2836
2024-10-06,B026,133927,836613626.82,3946
2024-10-06,B027,70934,438180962.53,2140
2024-10-06,B028,102047,624985333.17,3113
2024-10-06,B029,93110,571324210.2,2806
2024-10-06,B030,136595,836554390.26,4126
2024-10-06,B031,139455,855226256.67,4090
2024-10-06,B032,144001,881543212.34,4282
2024-10-06,B033,74803,456234240.0,2298
2024-10-06,B034,100347,613171033.07,2887
2024-10-06,B035,69339,430159497.68,1946
2024-10-06,B036,56030,350355198.27,1705
2024-10-06,B037,142172,870438691.8,4262
2024-10-06,B038,59471,364006474.11,1766
2024-10-06,B039,102282,625768114.64,3102
2024-10-06,B040,102215,627774291.16,3030
2024-10-06,B041,130599,802305899.57,3958
2024-10-06,B042,97718,600358969.67,3043
2024-10-06,B043,74840,459723185.95,2222
2024-10-06,B044,141070,866609623.29,4152
2024-10-06,B045,132826,816229537.23,3954
2024-10-06,B046,124560,766564716.4,3704
2024-10-06,B047,104957,647915160.75,3118
2024-10-06,B048,77429,473700522.53,2311
2024-10-06,B049,140778,871768424.5,4213
2024-10-06,B050,109524,669981151.69,3131
2024-10-06,B051,147668,905163208.26,4495
2024-10-06,B052,55865,338857564.32,1644
2024-10-06,B053,133805,823164603.57,4008
2024-10-06,B054,76814,473602463.73,2237
2024-10-06,B055,82404,497207076.37,2433
2024-10-06,B056,95015,594835827.59,2891
2024-10-06,B057,115079,715218545.9,3451
2024-10-06,B058,72004,443012351.78,2107
2024-10-06,B059,111215,690243186.67,3244
2024-10-06,B060,139114,861004408.22,4141
2024-10-06,B061,127844,783169518.3,3842
2024-10-06,B062,129163,792433276.39,3827
2024-10-06,B063,134714,832487783.48,3979
2024-10-06,B064,134485,832301278.2,3985
2024-10-06,B065,107660,658021311.33,3242
2024-10-06,B066,113369,696361700.03,3362
2024-10-06,B067,91493,556732980.07,2662
2024-10-06,B068,142155,869894923.16,4165
2024-10-06,B069,143220,884620528.27,4203
2024-10-06,B070,69530,428241257.59,2052
2024-10-06,B071,130202,806258575.23,3840
2024-10-06,B072,102137,624495015.77,3064
2024-10-06,B073,90961,563305302.67,2683
2024-10-06,B074,136535,841924791.04,4157
2024-10-06,B075,139387,850769052.09,4010
2024-10-06,B076,143822,886128666.22,4301
2024-10-06,B077,129618,798843369.26,3868
2024-10-06,B078,74722,461794981.46,2225
2024-10-06,B079,66755,413391051.47,1970
2024-10-06,B080,108768,662393944.39,3180
2024-10-06,B081,121024,743671094.79,3575
2024-10-06,B082,147282,903730980.18,4356
2024-10-06,B083,126841,781997946.69,3709
2024-10-06,B084,112864,704025244.24,3350
2024-10-06,B085,109983,679205777.32,3339
2024-10-06,B086,53184,328396252.98,1577
2024-10-06,B087,144220,892436367.24,4315
2024-10-06,B088,147604,905925040.8,4278
2024-10-06,B089,66894,413480626.38,2002
2024-10-06,B090,74429,456851615.91,2155
2024-10-06,B091,100056,614365925.14,3133
2024-10-06,B092,50385,307266748.81,1502
2024-10-06,B093,65860,407830237.61,1967
2024-10-06,B094,127219,783044739.11,3907
2024-10-06,B095,64093,389496646.6,1965
2024-10-06,B096,46030,285449126.61,1353
2024-10-06,B097,59245,365828123.04,1779
2024-10-06,B098,82260,507160903.85,2399
2024-10-06,B099,54099,334213594.08,1641
2024-10-06,B100,62232,379887533.81,1855
2024-10-07,B001,83871,508799892.5,2529
2024-10-07,B002,78648,486220993.24,2437
2024-10-07,B003,140447,873011601.17,4193
2024-10-07,B004,62458,381603223.68,1902
2024-10-07,B005,105478,647501736.4,3107
2024-10-07,B006,93802,583422092.01,2780
2024-10-07,B007,143922,886406805.92,4314
2024-10-07,B008,137647,842131231.15,4035
2024-10-07,B009,101191,625998676.23,2996
2024-10-07,B010,118633,726581733.41,3563
2024-10-07,B011,144002,887057971.95,4369
2024-10-07,B012,73187,455882595.36,2151
2024-10-07,B013,114498,701585396.04,3403
2024-10-07,B014,77734,482715898.56,2287
2024-10-07,B015,71209,433404001.97,2189
2024-10-07,B016,132556,811289252.71,3801
2024-10-07,B017,87026,534739897.0,2521
2024-10-07,B018,105586,649619016.43,3100
2024-10-07,B019,93610,578402343.98,2893
2024-10-07,B020,145204,886877979.65,4360
2024-10-07,B021,95713,585493028.49,2862
2024-10-07,B022,123519,755838816.37,3653
2024-10-07,B023,108408,660466223.85,3255
2024-10-07,B024,65388,403912104.93,1904
2024-10-07,B025,52360,326407249.98,1612
2024-10-07,B026,94138,583982706.45,2753
2024-10-07,B027,115300,715338472.19,3451
2024-10-07,B028,73817,457977099.08,2221
2024-10-07,B029,70195,431792481.32,2055
2024-10-07,B030,142499,878102581.33,4221
2024-10-07,B031,77255,477473324.61,2289
2024-10-07,B032,62020,381048847.15,1815
2024-10-07,B033,95739,586314396.33,2737
