txn_date,biller_id,txn_value,txn_amount
2024-10-01,B065,86982,126267859.52
2024-10-01,B066,87889,137803458.13
2024-10-01,B067,80216,113809010.72
2024-10-01,B068,79306,131790907.78
2024-10-01,B069,88385,138787658.15
2024-10-01,B070,81112,127138481.73
2024-10-01,B071,74185,112334781.08
2024-10-01,B072,75537,141509740.26
2024-10-01,B073,76027,105098364.22
2024-10-01,B074,85392,95131231.31
2024-10-01,B075,83183,142876568.39
2024-10-01,B076,87591,117469872.59
2024-10-01,B077,79450,114034510.05
2024-10-01,B078,83050,137691612.74
2024-10-01,B079,86001,100535948.01
2024-10-01,B080,79768,97256549.94
2024-10-01,B081,85621,100103515.31
2024-10-01,B082,78001,100469366.32
2024-10-01,B083,80416,120108695.68
2024-10-01,B084,79222,119532004.45
2024-10-01,B085,74662,109349780.39
2024-10-01,B086,85732,102526553.28
2024-10-01,B087,78718,84528352.41
2024-10-01,B088,82501,117655447.98
2024-10-01,B089,85951,115075889.38
2024-10-01,B090,85918,128630920.42
2024-10-01,B091,87243,134472449.25
2024-10-01,B092,82001,118125543.89
2024-10-01,B093,79900,124017092.52
2024-10-01,B094,81905,119282303.26
2024-10-01,B095,72323,109199615.06
2024-10-01,B096,73303,95437188.61
2024-10-01,B097,73935,102520270.0
2024-10-01,B098,76064,110345438.9
2024-10-01,B099,84838,132639450.51
2024-10-01,B100,76536,103434633.59
2024-10-02,B001,83294,104389642.42
2024-10-02,B002,78161,109470696.93
2024-10-02,B003,79422,128839216.96
2024-10-02,B004,85608,92251428.81
2024-10-02,B005,67971,80472223.63
2024-10-02,B006,71820,91089650.49
2024-10-02,B007,71097,120038698.93
2024-10-02,B008,66339,97233565.26
2024-10-02,B009,75301,116979541.41
2024-10-02,B010,84889,104894259.09
2024-10-02,B011,77869,96458339.35
2024-10-02,B012,81727,122186632.04
2024-10-02,B013,87041,124188400.04
2024-10-02,B014,88957,134616411.97
2024-10-02,B015,79553,110203705.71
2024-10-02,B016,88916,130255372.45
2024-10-02,B017,80704,116534807.66
2024-10-02,B018,74952,116583478.65
2024-10-02,B019,75712,118179568.91
2024-10-02,B020,71094,82934063.94
2024-10-02,B021,74827,80958293.89
2024-10-02,B022,77971,124583227.48
2024-10-02,B023,85316,139395692.47
2024-10-02,B024,91882,115175604.43
2024-10-02,B025,71502,81042422.21
2024-10-02,B026,82579,118399815.65
2024-10-02,B027,73532,116495057.68
2024-10-02,B028,83205,146268849.15
2024-10-02,B029,79034,119135490.88
2024-10-02,B030,69062,93580892.65
2024-10-02,B031,86249,109781317.36
2024-10-02,B032,76037,107880247.76
2024-10-02,B033,76761,104921506.16
2024-10-02,B034,73532,92235041.03
2024-10-02,B035,76141,137946391.0
2024-10-02,B036,83038,145757767.72
2024-10-02,B037,78404,127310421.07
2024-10-02,B038,82083,104131701.52
2024-10-02,B039,82478,129484539.26
2024-10-02,B040,89124,136348131.24
2024-10-02,B041,77712,116110547.91
2024-10-02,B042,71077,116997340.58
2024-10-02,B043,87101,133185178.31
2024-10-02,B044,77836,120522123.48
2024-10-02,B045,86968,133006309.23
2024-10-02,B046,82766,122161005.76
2024-10-02,B047,79459,90888674.99
2024-10-02,B048,82159,117579946.68
2024-10-02,B049,93074,123356608.49
2024-10-02,B050,94655,115017623.4
2024-10-02,B051,80804,140088174.13
2024-10-02,B052,81303,141753542.45
2024-10-02,B053,86953,145024369.07
2024-10-02,B054,75101,109715105.96
2024-10-02,B055,82172,136909100.0
2024-10-02,B056,80252,113868655.74
2024-10-02,B057,81804,118758187.92
2024-10-02,B058,74720,92847541.15
2024-10-02,B059,70289,104447217.37
2024-10-02,B060,67698,96614663.41
2024-10-02,B061,73539,89114779.82
2024-10-02,B062,76655,107942508.57
2024-10-02,B063,78326,109918549.5
2024-10-02,B064,93331,164069026.11
2024-10-02,B065,87463,137957962.92
2024-10-02,B066,74235,105323521.03
2024-10-02,B067,82168,119946760.89
2024-10-02,B068,77434,110295047.17
2024-10-02,B069,78092,107982104.75
2024-10-02,B070,80927,100693759.45
2024-10-02,B071,84024,116909931.61
2024-10-02,B072,77731,100700416.26
2024-10-02,B073,87141,106263005.79
2024-10-02,B074,73418,110602570.58
2024-10-02,B075,79896,118641355.63
2024-10-02,B076,98505,112632463.57
2024-10-02,B077,81514,113804288.34
2024-10-02,B078,89542,142967814.47
2024-10-02,B079,80441,129419416.51
2024-10-02,B080,84187,134904687.72
2024-10-02,B081,79686,113430585.97
2024-10-02,B082,79165,101347622.94
2024-10-02,B083,75303,93681777.32
2024-10-02,B084,83244,122922763.46
2024-10-02,B085,74455,110402866.28
2024-10-02,B086,83940,138796602.11
2024-10-02,B087,87975,142234601.45
2024-10-02,B088,82326,114806386.33
2024-10-02,B089,78915,96302491.85
2024-10-02,B090,82220,112115923.34
2024-10-02,B091,77509,112718028.59
2024-10-02,B092,86230,119246852.05
2024-10-02,B093,68508,90561647.79
2024-10-02,B094,77788,113608795.84
2024-10-02,B095,68374,91190003.69
2024-10-02,B096,70826,93063849.46
2024-10-02,B097,89152,131124164.42
2024-10-02,B098,85524,115467084.27
2024-10-02,B099,75517,110175869.11
2024-10-02,B100,70888,103784146.26
2024-10-03,B001,72820,103354162.86
2024-10-03,B002,77543,119351477.01
2024-10-03,B003,90009,134977446.98
2024-10-03,B004,72891,98620903.39
2024-10-03,B005,67565,108180693.46
2024-10-03,B006,68592,109972126.06
2024-10-03,B007,80847,117105237.38
2024-10-03,B008,80867,128605851.79
2024-10-03,B009,79294,116083234.36
2024-10-03,B010,87939,116476904.08
2024-10-03,B011,64252,98986002.22
2024-10-03,B012,82425,118343325.69
2024-10-03,B013,90615,128407412.57
2024-10-03,B014,73122,123632231.51
2024-10-03,B015,77809,82152725.93
2024-10-03,B016,75004,89644058.28
2024-10-03,B017,74351,91357122.36
2024-10-03,B018,77811,105543069.11
2024-10-03,B019,89783,123380150.48
2024-10-03,B020,92948,109901959.96
2024-10-03,B021,78373,98660838.28
2024-10-03,B022,93293,119208212.95
2024-10-03,B023,79663,151581540.94
2024-10-03,B024,91655,161203596.06
2024-10-03,B025,79512,107224589.24
2024-10-03,B026,81339,110324187.17
2024-10-03,B027,82568,101915627.81
2024-10-03,B028,103315,116423511.08
2024-10-03,B029,85616,119614507.61
2024-10-03,B030,75474,94866777.39
2024-10-03,B031,86601,121456585.15
2024-10-03,B032,76993,90027698.38
2024-10-03,B033,77329,99988950.81
2024-10-03,B034,86168,124283060.06
2024-10-03,B035,80823,119657597.04
2024-10-03,B036,82008,122161142.64
2024-10-03,B037,80139,96905039.51
2024-10-03,B038,82190,129027234.7
2024-10-03,B039,82701,106445579.75
2024-10-03,B040,68396,104552032.81
2024-10-03,B041,84333,119333749.16
2024-10-03,B042,73522,88309329.36
2024-10-03,B043,71402,97398394.96
2024-10-03,B044,79357,117475274.88
2024-10-03,B045,80891,123357419.49
2024-10-03,B046,75817,105618291.39
2024-10-03,B047,85303,145249167.87
2024-10-03,B048,71682,114613836.99
2024-10-03,B049,77886,107004972.05
2024-10-03,B050,76376,118404970.74
2024-10-03,B051,80367,143607866.88
2024-10-03,B052,81593,146266339.37
2024-10-03,B053,73725,90144103.96
2024-10-03,B054,85159,107960314.37
2024-10-03,B055,80359,136063532.35
2024-10-03,B056,69078,86199997.69
2024-10-03,B057,68430,82726001.9
2024-10-03,B058,80029,106961969.85
2024-10-03,B059,78380,116795386.9
2024-10-03,B060,79840,111738866.87
2024-10-03,B061,80050,104900405.5
2024-10-03,B062,81441,106420785.72
2024-10-03,B063,86068,111953634.71
2024-10-03,B064,73027,93103861.13
2024-10-03,B065,72906,135828690.28
2024-10-03,B066,73063,107280938.52
2024-10-03,B067,82225,129579948.63
2024-10-03,B068,88657,118452646.3
2024-10-03,B069,76941,106607265.83
2024-10-03,B070,65134,84711196.63
2024-10-03,B071,69499,71631501.32
2024-10-03,B072,74936,89990209.29
2024-10-03,B073,76164,86837820.3
2024-10-03,B074,77237,83540549.73
2024-10-03,B075,80382,98669390.29
2024-10-03,B076,78334,130113089.77
2024-10-03,B077,86942,122527618.97
2024-10-03,B078,75789,125367370.48
2024-10-03,B079,74241,110505140.85
2024-10-03,B080,83093,129320665.31
2024-10-03,B081,70158,89216837.05
2024-10-03,B082,82412,124341616.31
2024-10-03,B083,80968,125201858.02
2024-10-03,B084,78995,104440179.26
2024-10-03,B085,91066,137986649.65
2024-10-03,B086,76109,115415265.69
2024-10-03,B087,93962,124632786.61
2024-10-03,B088,78136,96751541.28
2024-10-03,B089,72256,88814288.6
2024-10-03,B090,79826,114280677.64
2024-10-03,B091,73351,108085750.48
2024-10-03,B092,75618,97418762.58
2024-10-03,B093,82238,116890231.17
2024-10-03,B094,83939,127355496.99
2024-10-03,B095,76400,116581798.3
2024-10-03,B096,86487,147620870.92
2024-10-03,B097,87545,144577865.32
2024-10-03,B098,89745,112758111.66
2024-10-03,B099,83432,144675000.36
2024-10-03,B100,88959,118260046.65
2024-10-04,B001,93753,150286722.18
2024-10-04,B002,87200,94720402.68
2024-10-04,B003,83008,122590772.34
2024-10-04,B004,74452,121672966.02
2024-10-04,B005,85710,119227564.75
2024-10-04,B006,76186,115310627.35
2024-10-04,B007,93182,121342103.3
2024-10-04,B008,97057,135558335.35
2024-10-04,B009,81239,94756778.4
2024-10-04,B010,89139,95326069.78
2024-10-04,B011,81795,129771549.0
2024-10-04,B012,82198,103478013.02
2024-10-04,B013,91908,123291603.7
2024-10-04,B014,86039,103219231.5
2024-10-04,B015,99204,118677478.35
2024-10-04,B016,82624,114648078.24
2024-10-04,B017,93545,121427929.83
2024-10-04,B018,87170,129236535.1
2024-10-04,B019,91733,137223964.71
2024-10-04,B020,83377,122768691.2
2024-10-04,B021,85385,124490587.7
2024-10-04,B022,85029,145583839.24
2024-10-04,B023,80865,100795873.9
2024-10-04,B024,91131,128269487.76
2024-10-04,B025,90730,147265696.97
2024-10-04,B026,90703,149569742.01
2024-10-04,B027,98403,117552757.11
2024-10-04,B028,96522,131724929.99
2024-10-04,B029,83796,139740534.93
2024-10-04,B030,88913,133894935.93
2024-10-04,B031,82228,119265847.79
2024-10-04,B032,86407,119268124.29
2024-10-04,B033,82497,111623700.11
2024-10-04,B034,98094,143874309.28
2024-10-04,B035,88653,121859964.55
2024-10-04,B036,84904,119682134.36
2024-10-04,B037,95064,135966668.31
2024-10-04,B038,72610,94837191.33
2024-10-04,B039,73024,110285367.34
2024-10-04,B040,91825,184568658.22
2024-10-04,B041,86793,99356575.55
2024-10-04,B042,88128,129813574.9
2024-10-04,B043,77992,100867827.65
2024-10-04,B044,86497,131344759.3
2024-10-04,B045,101546,144680284.08
2024-10-04,B046,92403,143453306.86
2024-10-04,B047,87721,143115169.69
2024-10-04,B048,84178,122052553.04
2024-10-04,B049,83654,135770111.0
2024-10-04,B050,72872,77930414.46
2024-10-04,B051,88166,151184848.88
2024-10-04,B052,92672,137345742.08
2024-10-04,B053,75904,122393120.4
2024-10-04,B054,82161,100556848.42
2024-10-04,B055,78568,100755791.4
2024-10-04,B056,80673,116319895.81
2024-10-04,B057,86488,122289196.81
2024-10-04,B058,73152,107225626.66
2024-10-04,B059,90992,146839622.22
2024-10-04,B060,91451,104836757.29
2024-10-04,B061,84664,134824825.43
2024-10-04,B062,70667,100223241.03
2024-10-04,B063,79410,109793140.84
2024-10-04,B064,95543,113462246.97
2024-10-04,B065,69169,104099398.92
2024-10-04,B066,84249,89345540.83
2024-10-04,B067,78576,120337604.88
2024-10-04,B068,91904,108866180.89
2024-10-04,B069,81557,116296700.42
2024-10-04,B070,89146,124512086.39
2024-10-04,B071,90628,147752026.18
2024-10-04,B072,99856,138478918.9
2024-10-04,B073,84958,110751390.64
2024-10-04,B074,88927,118563782.05
2024-10-04,B075,76945,127009817.82
2024-10-04,B076,95031,143593496.48
2024-10-04,B077,81393,110105748.33
2024-10-04,B078,83068,114401427.28
2024-10-04,B079,86214,101210135.26
2024-10-04,B080,76241,113175969.07
2024-10-04,B081,88053,101006876.33
2024-10-04,B082,93692,145278989.4
2024-10-04,B083,88196,126903096.77
2024-10-04,B084,76449,144241019.05
2024-10-04,B085,85389,106020089.15
2024-10-04,B086,91473,128015579.56
2024-10-04,B087,74896,131673132.77
2024-10-04,B088,79327,129667422.34
2024-10-04,B089,92347,120353753.37
2024-10-04,B090,88205,128376495.57
2024-10-04,B091,89454,126772231.74
2024-10-04,B092,99924,146448257.82
2024-10-04,B093,89488,116593142.71
2024-10-04,B094,90697,127132952.4
2024-10-04,B095,107654,125912053.05
2024-10-04,B096,84728,122008231.74
2024-10-04,B097,81003,121136286.67
2024-10-04,B098,89663,123617910.86
2024-10-04,B099,89384,104330439.43
2024-10-04,B100,82577,131733717.17
2024-10-05,B001,75800,132925365.56
2024-10-05,B002,69635,106777857.12
2024-10-05,B003,71978,101856459.15
2024-10-05,B004,65719,112690137.9
2024-10-05,B005,67780,97886679.33
2024-10-05,B006,70464,99500189.44
2024-10-05,B007,80949,105954619.96
2024-10-05,B008,70148,106575848.54
2024-10-05,B009,77164,115763921.64
2024-10-05,B010,70363,99868742.58
2024-10-05,B011,75006,96659773.57
2024-10-05,B012,72549,104405395.4
2024-10-05,B013,78924,110889818.9
2024-10-05,B014,70291,84864377.69
2024-10-05,B015,64707,76836476.45
2024-10-05,B016,65957,100007881.31
2024-10-05,B017,70640,73244087.98
2024-10-05,B018,67093,97432180.94
2024-10-05,B019,76077,101778979.48
2024-10-05,B020,70754,117287271.9
2024-10-05,B021,89467,119471904.28
2024-10-05,B022,63872,97948983.09
2024-10-05,B023,74845,101110828.13
2024-10-05,B024,67253,96596159.29
2024-10-05,B025,70682,109403064.7
2024-10-05,B026,74305,99593722.38
2024-10-05,B027,60782,97057914.27
2024-10-05,B028,75331,94734246.61
2024-10-05,B029,85456,125434077.38
2024-10-05,B030,71018,112401547.91
2024-10-05,B031,74998,115018561.71
2024-10-05,B032,80017,142685095.6
2024-10-05,B033,72117,93233272.41
2024-10-05,B034,70319,84434129.55
2024-10-05,B035,61640,77510884.64
2024-10-05,B036,77557,118948881.53
2024-10-05,B037,72893,109636564.94
2024-10-05,B038,68122,97709480.43
2024-10-05,B039,74772,92583988.23
2024-10-05,B040,69930,108629867.52
2024-10-05,B041,70677,86451469.0
2024-10-05,B042,77336,125921801.47
2024-10-05,B043,66122,132002611.61
2024-10-05,B044,80014,118463314.81
2024-10-05,B045,65595,99673518.1
2024-10-05,B046,69687,93065001.56
2024-10-05,B047,85961,98012564.78
2024-10-05,B048,80789,106478391.74
2024-10-05,B049,74348,92391678.94
2024-10-05,B050,68247,81281667.89
2024-10-05,B051,70343,122546928.35
2024-10-05,B052,73800,108043055.51
2024-10-05,B053,73755,109370245.63
2024-10-05,B054,73352,100144552.07
2024-10-05,B055,74048,102760041.66
2024-10-05,B056,72771,115756770.31
2024-10-05,B057,65617,92608592.64
2024-10-05,B058,70934,107110468.29
2024-10-05,B059,79279,109714368.28
2024-10-05,B060,66021,89778192.66
2024-10-05,B061,72687,86987151.83
2024-10-05,B062,69109,77229588.69
2024-10-05,B063,74237,101931684.19
2024-10-05,B064,71534,102041545.6
2024-10-05,B065,82530,100208582.15
2024-10-05,B066,76616,108104302.44
2024-10-05,B067,66449,94756706.24
2024-10-05,B068,78003,85323840.27
2024-10-05,B069,69490,88216628.25
2024-10-05,B070,70370,104696561.85
2024-10-05,B071,75270,111715590.67
2024-10-05,B072,70328,86760946.78
2024-10-05,B073,78919,113961805.42
2024-10-05,B074,69160,110779208.07
2024-10-05,B075,69875,108677443.66
2024-10-05,B076,70141,98248578.59
2024-10-05,B077,70646,94627857.44
2024-10-05,B078,81033,106459296.22
2024-10-05,B079,77011,115412679.08
2024-10-05,B080,84381,122386284.68
2024-10-05,B081,87894,134301543.95
2024-10-05,B082,67164,96678382.31
2024-10-05,B083,73680,115170154.82
2024-10-05,B084,66927,95907209.19
2024-10-05,B085,68988,107395985.07
2024-10-05,B086,70068,110210536.82
2024-10-05,B087,67745,87150371.67
2024-10-05,B088,67628,77128463.5
2024-10-05,B089,73023,124514375.95
2024-10-05,B090,66796,97599251.29
2024-10-05,B091,78603,90658448.79
2024-10-05,B092,67994,88428003.6
2024-10-05,B093,92782,144214986.29
2024-10-05,B094,71067,97367205.07
2024-10-05,B095,73851,98398912.83
2024-10-05,B096,66453,111388972.24
2024-10-05,B097,84318,105356357.38
2024-10-05,B098,80156,103195361.88
2024-10-05,B099,75332,109475301.24
2024-10-05,B100,65950,97922764.15
2024-10-06,B001,74483,113017127.2
2024-10-06,B002,77078,97188386.06
2024-10-06,B003,73159,113275831.58
2024-10-06,B004,75228,117598026.01
2024-10-06,B005,70608,136729727.37
2024-10-06,B006,72669,98416646.04
2024-10-06,B007,72384,97071035.99
2024-10-06,B008,73366,113996083.63
2024-10-06,B009,76314,119292264.23
2024-10-06,B010,75435,100232097.92
2024-10-06,B011,71832,96967717.52
2024-10-06,B012,67697,102350699.08
2024-10-06,B013,72557,93082847.23
2024-10-06,B014,71687,96686416.07
2024-10-06,B015,72450,103759464.27
2024-10-06,B016,86129,137522341.92
2024-10-06,B017,69035,90966323.3
2024-10-06,B018,74334,84428911.13
2024-10-06,B019,78371,88224953.36
2024-10-06,B020,72098,87823077.93
2024-10-06,B021,86504,104693612.2
2024-10-06,B022,69688,96921601.67
2024-10-06,B023,74111,91042454.16
2024-10-06,B024,67988,88537677.85
2024-10-06,B025,69499,89733990.6
2024-10-06,B026,72982,98079607.28
2024-10-06,B027,76778,127491058.99
2024-10-06,B028,73860,113299266.74
2024-10-06,B029,79531,112900848.72
2024-10-06,B030,71123,95346268.34
2024-10-06,B031,70259,94502668.4
2024-10-06,B032,89276,131563529.26
2024-10-06,B033,73796,112149454.22
2024-10-06,B034,67484,85747249.35
2024-10-06,B035,67946,96690827.11
2024-10-06,B036,66274,73584241.38
2024-10-06,B037,77910,113226195.1
2024-10-06,B038,70248,109062086.73
2024-10-06,B039,72774,99701237.52
2024-10-06,B040,71884,126654704.85
2024-10-06,B041,76013,96890680.77
2024-10-06,B042,66708,97013031.19
2024-10-06,B043,66425,93709736.76
2024-10-06,B044,73451,102823134.67
2024-10-06,B045,75483,105490023.15
2024-10-06,B046,73957,106140535.52
2024-10-06,B047,67354,105651391.79
2024-10-06,B048,75802,126707414.01
2024-10-06,B049,67533,95657481.85
2024-10-06,B050,69134,108019541.97
2024-10-06,B051,66910,87144178.86
2024-10-06,B052,79671,123748079.91
2024-10-06,B053,75238,97285019.52
2024-10-06,B054,75785,122389325.0
2024-10-06,B055,79275,146441686.04
2024-10-06,B056,90215,125961111.42
2024-10-06,B057,63028,68641782.88
2024-10-06,B058,68248,90541377.27
2024-10-06,B059,68336,112245597.6
2024-10-06,B060,67107,101604228.25
2024-10-06,B061,66539,97133415.38
2024-10-06,B062,70322,112454924.82
2024-10-06,B063,64951,97533423.87
2024-10-06,B064,73977,121305096.72
2024-10-06,B065,72804,115183823.33
2024-10-06,B066,74563,126808241.5
2024-10-06,B067,74562,110290092.62
2024-10-06,B068,75744,119631709.68
2024-10-06,B069,70030,95630905.67
2024-10-06,B070,85545,112763739.82
2024-10-06,B071,73539,127875300.04
2024-10-06,B072,61904,90013254.81
2024-10-06,B073,66575,103891010.7
2024-10-06,B074,62360,89675753.14
2024-10-06,B075,72130,95251022.08
2024-10-06,B076,71356,101233219.21
2024-10-06,B077,69280,116617940.11
2024-10-06,B078,84637,128179023.54
2024-10-06,B079,75413,87010645.29
2024-10-06,B080,76557,105703055.81
2024-10-06,B081,66859,117318065.56
2024-10-06,B082,66081,91254582.91
2024-10-06,B083,72233,82456191.34
2024-10-06,B084,73145,130065375.78
2024-10-06,B085,62129,95538331.68
2024-10-06,B086,71156,99973053.31
2024-10-06,B087,72152,97771434.4
2024-10-06,B088,70647,113978000.64
2024-10-06,B089,67791,90000840.64
2024-10-06,B090,68973,112160790.43
2024-10-06,B091,70387,106431288.37
2024-10-06,B092,72262,105434278.93
2024-10-06,B093,76153,109797068.17
2024-10-06,B094,78275,108598726.27
2024-10-06,B095,70200,112758989.14
2024-10-06,B096,69332,88543414.96
2024-10-06,B097,74827,87267258.2
2024-10-06,B098,75691,115447935.54
2024-10-06,B099,69468,106170085.7
2024-10-06,B100,77188,115850494.44
2024-10-07,B001,86691,128811058.57
2024-10-07,B002,82051,120595045.84
2024-10-07,B003,89896,141788551.25
2024-10-07,B004,83383,129302946.76
2024-10-07,B005,80574,130908830.11
2024-10-07,B006,82284,116556256.64
2024-10-07,B007,98749,145100249.77
2024-10-07,B008,73001,109978221.51
2024-10-07,B009,87105,125529484.49
2024-10-07,B010,73682,99536339.12
2024-10-07,B011,83188,113254509.05
2024-10-07,B012,81180,104270603.81
2024-10-07,B013,70913,105686310.23
2024-10-07,B014,86353,120975651.91
2024-10-07,B015,81659,106847092.02
2024-10-07,B016,70593,92378030.68
2024-10-07,B017,89519,109686974.41
2024-10-07,B018,94095,149933737.6
2024-10-07,B019,94351,134947196.78
2024-10-07,B020,86445,110432000.03
2024-10-07,B021,84064,131240526.45
2024-10-07,B022,93757,124198370.27
2024-10-07,B023,96528,115524268.23
2024-10-07,B024,92365,147927511.96
2024-10-07,B025,78047,103677710.15
2024-10-07,B026,85493,115329608.13
2024-10-07,B027,86561,123250460.12
2024-10-07,B028,72187,117307448.95
2024-10-07,B029,87168,123800245.34
2024-10-07,B030,100396,123181131.59
2024-10-07,B031,88832,134348848.21
2024-10-07,B032,94746,126650134.17
2024-10-07,B033,85364,151699701.53
2024-10-07,B034,83300,118006742.01
2024-10-07,B035,86195,93394783.04
2024-10-07,B036,78804,116544727.88
2024-10-07,B037,77521,138702059.87
2024-10-07,B038,93123,159406765.75
2024-10-07,B039,94341,166510433.05
2024-10-07,B040,77905,97665315.86
2024-10-07,B041,91113,144024922.56
2024-10-07,B042,83523,108517372.38
2024-10-07,B043,86469,125854725.83
2024-10-07,B044,86557,105264522.18
2024-10-07,B045,90543,118737807.05
2024-10-07,B046,84413,110277442.01
2024-10-07,B047,93720,147904356.24
2024-10-07,B048,86272,134561180.13
2024-10-07,B049,88109,129052671.59
2024-10-07,B050,78531,94620150.16
2024-10-07,B051,99635,135984968.3
2024-10-07,B052,87188,112951701.26
2024-10-07,B053,89229,140329715.68
2024-10-07,B054,73625,120156420.76
2024-10-07,B055,78620,126446585.04
2024-10-07,B056,92908,120230532.25
2024-10-07,B057,86077,87788090.32
2024-10-07,B058,71977,82495089.62
2024-10-07,B059,91546,153832506.68
2024-10-07,B060,80375,108524957.1
2024-10-07,B061,93761,121399846.37
2024-10-07,B062,83174,143521035.06
2024-10-07,B063,85627,141209898.24
2024-10-07,B064,92204,131021959.14
2024-10-07,B065,78463,107323365.14
2024-10-07,B066,77716,108379243.15
2024-10-07,B067,82906,120710431.3
2024-10-07,B068,89674,153947882.8
2024-10-07,B069,75369,112338846.24
2024-10-07,B070,73441,113526174.51
2024-10-07,B071,89646,146146357.79
2024-10-07,B072,80573,99209131.52
2024-10-07,B073,81504,126426751.62
2024-10-07,B074,72036,98518595.73
2024-10-07,B075,79369,83146492.03
2024-10-07,B076,83973,92161507.07
2024-10-07,B077,90154,113043509.2
2024-10-07,B078,79013,119317351.09
2024-10-07,B079,95952,137817671.46
2024-10-07,B080,79116,114602166.71
2024-10-07,B081,79628,142580475.94
2024-10-07,B082,95102,115709972.36
2024-10-07,B083,85336,120509908.63
2024-10-07,B084,80273,117965612.68
2024-10-07,B085,83832,108732376.12
2024-10-07,B086,94141,133836705.85
2024-10-07,B087,94640,110665692.29
2024-10-07,B088,78713,132082225.37
2024-10-07,B089,83680,109249453.32
2024-10-07,B090,84381,152556932.39
2024-10-07,B091,77314,109115364.11
2024-10-07,B092,83038,133098883.67
2024-10-07,B093,84192,118525856.68
2024-10-07,B094,91905,129734979.57
2024-10-07,B095,92600,122319099.25
2024-10-07,B096,81867,117662272.9
2024-10-07,B097,82714,121750795.23
2024-10-07,B098,88429,114036266.51
2024-10-07,B099,79938,111572385.81
2024-10-07,B100,88350,116340578.49
2024-10-08,B001,98624,202423832.32
2024-10-08,B002,81670,123103975.87
2024-10-08,B003,94101,141309634.33
2024-10-08,B004,81302,125346261.72
2024-10-08,B005,84289,105805555.64
2024-10-08,B006,73863,99223155.12
2024-10-08,B007,79589,106119217.59
2024-10-08,B008,83945,128548090.02
2024-10-08,B009,93428,129634339.58
2024-10-08,B010,83882,120834934.48
2024-10-08,B011,91823,148232937.92
2024-10-08,B012,86421,135807218.15
2024-10-08,B013,93332,129694811.2
2024-10-08,B014,82372,107691831.65
2024-10-08,B015,99565,161656100.28
2024-10-08,B016,79428,123488183.17
2024-10-08,B017,77410,90449594.53
2024-10-08,B018,74368,101481330.45
2024-10-08,B019,99887,144362713.81
2024-10-08,B020,88504,137680377.09
2024-10-08,B021,80349,126978705.85
2024-10-08,B022,90988,133382898.2
2024-10-08,B023,86475,131435026.52
2024-10-08,B024,95952,136998785.21
2024-10-08,B025,72963,95346520.24
2024-10-08,B026,80742,110867382.53
2024-10-08,B027,79618,113063173.08
2024-10-08,B028,70234,99096942.71
2024-10-08,B029,89993,101686110.15
2024-10-08,B030,80800,109148194.49
2024-10-08,B031,87713,125116133.67
2024-10-08,B032,99215,135904494.06
2024-10-08,B033,80091,110164225.19
2024-10-08,B034,79270,119086043.61
