txn_date,blr_name,total_transactions,total_amount,total_biller_fee
2025-08-31,BILLER_01,81,22382,88.74
2025-08-31,BILLER_02,91,32679,133.8
2025-08-31,BILLER_03,101,34180,137.62
2025-08-31,BILLER_04,82,20462,84.18
2025-08-31,BILLER_05,93,23365,94.42999999999999
2025-08-31,BILLER_06,81,27338,109.27
2025-08-31,BILLER_07,69,23565,93.22
2025-08-31,BILLER_08,95,31006,124.36
2025-08-31,BILLER_09,85,27688,111.62
2025-08-31,BILLER_10,95,21617,87.66
2025-09-01,BILLER_01,73,17630,70.34
2025-09-01,BILLER_02,65,16428,65.39
2025-09-01,BILLER_03,105,28379,114.93
2025-09-01,BILLER_04,72,21230,87.62
2025-09-01,BILLER_05,93,25047,98.73
2025-09-01,BILLER_06,94,32527,131.52
2025-09-01,BILLER_07,74,20264,79.05
2025-09-01,BILLER_08,67,17634,68.39
2025-09-01,BILLER_09,83,19761,77.28
2025-09-01,BILLER_10,78,19835,81.31
2025-09-02,BILLER_01,67,19267,75.15
2025-09-02,BILLER_02,72,21411,86.55
2025-09-02,BILLER_03,66,18340,74.48
2025-09-02,BILLER_04,65,17888,66.98
2025-09-02,BILLER_05,80,25347,105.17
2025-09-02,BILLER_06,82,21834,90.15
2025-09-02,BILLER_07,74,24794,100.03999999999999
2025-09-02,BILLER_08,78,23491,96.95
2025-09-02,BILLER_09,76,21662,86.42
2025-09-02,BILLER_10,92,30938,123.31
2025-09-03,BILLER_01,64,19223,74.4
2025-09-03,BILLER_02,62,15215,62.48
2025-09-03,BILLER_03,71,21890,89.34
2025-09-03,BILLER_04,74,23549,95.42
2025-09-03,BILLER_05,72,21878,89.2
2025-09-03,BILLER_06,74,22120,91.67999999999999
2025-09-03,BILLER_07,85,24477,96.42
2025-09-03,BILLER_08,84,25704,103.47
2025-09-03,BILLER_09,86,24778,99.88
2025-09-03,BILLER_10,92,27484,105.08
2025-09-04,BILLER_01,67,17997,72.86
2025-09-04,BILLER_02,69,18992,76.38
2025-09-04,BILLER_03,79,28838,117.72
2025-09-04,BILLER_04,78,18790,73.88
2025-09-04,BILLER_05,75,22530,88.59
2025-09-04,BILLER_06,79,26078,100.91
2025-09-04,BILLER_07,75,19167,74.74
2025-09-04,BILLER_08,64,18914,76.92999999999999
2025-09-04,BILLER_09,56,20170,80.21
2025-09-04,BILLER_10,70,23869,98.24
2025-09-05,BILLER_01,65,15025,60.4
2025-09-05,BILLER_02,80,24649,99.54
2025-09-05,BILLER_03,68,19247,76.87
2025-09-05,BILLER_04,75,23649,92.06
2025-09-05,BILLER_05,85,25556,103.89
2025-09-05,BILLER_06,74,19744,80.65
2025-09-05,BILLER_07,83,21489,86.35
2025-09-05,BILLER_08,81,29430,117.08
2025-09-05,BILLER_09,77,20387,83.67
2025-09-05,BILLER_10,69,17238,70.16
2025-09-06,BILLER_01,107,31757,121.7
2025-09-06,BILLER_02,108,26760,106.33
2025-09-06,BILLER_03,108,28395,113.82000000000001
2025-09-06,BILLER_04,106,32963,128.62
2025-09-06,BILLER_05,114,34923,143.34
2025-09-06,BILLER_06,112,35409,137.9
2025-09-06,BILLER_07,112,34040,135.61
2025-09-06,BILLER_08,99,30549,122.11
2025-09-06,BILLER_09,121,30655,121.12
2025-09-06,BILLER_10,103,27152,104.15
2025-09-07,BILLER_01,101,32067,127.32
2025-09-07,BILLER_02,115,37499,151.43
2025-09-07,BILLER_03,102,30234,122.65
2025-09-07,BILLER_04,99,28762,116.85
2025-09-07,BILLER_05,105,34059,134.18
2025-09-07,BILLER_06,115,41809,165.0
2025-09-07,BILLER_07,115,35373,141.92
2025-09-07,BILLER_08,95,29617,123.58
2025-09-07,BILLER_09,105,29737,117.44
2025-09-07,BILLER_10,135,41652,171.78
2025-09-08,BILLER_01,108,31607,125.2
2025-09-08,BILLER_02,100,31993,127.03
2025-09-08,BILLER_03,106,32773,129.27
2025-09-08,BILLER_04,128,39180,153.06
2025-09-08,BILLER_05,93,25152,102.37
2025-09-08,BILLER_06,113,32304,128.89000000000001
2025-09-08,BILLER_07,117,37319,150.52
2025-09-08,BILLER_08,128,35553,143.19
2025-09-08,BILLER_09,121,33788,131.95
2025-09-08,BILLER_10,115,39595,164.72
2025-09-09,BILLER_01,64,16145,64.69
2025-09-09,BILLER_02,66,22359,87.17
2025-09-09,BILLER_03,67,24840,102.17
2025-09-09,BILLER_04,74,20606,84.45
2025-09-09,BILLER_05,74,24833,99.53999999999999
2025-09-09,BILLER_06,81,22149,88.25
2025-09-09,BILLER_07,84,21371,85.47
2025-09-09,BILLER_08,85,22716,91.41
2025-09-09,BILLER_09,77,26098,106.95
2025-09-09,BILLER_10,63,19573,79.53
2025-09-10,BILLER_01,81,20690,84.99
2025-09-10,BILLER_02,62,19645,75.98
2025-09-10,BILLER_03,71,26098,107.65
2025-09-10,BILLER_04,74,19699,78.39
2025-09-10,BILLER_05,89,26306,104.67
2025-09-10,BILLER_06,87,29457,117.82
2025-09-10,BILLER_07,69,18062,71.87
2025-09-10,BILLER_08,75,22478,91.13
2025-09-10,BILLER_09,74,21192,87.9
2025-09-10,BILLER_10,77,20060,80.98
2025-09-11,BILLER_01,75,22277,87.94
2025-09-11,BILLER_02,80,26364,105.86
2025-09-11,BILLER_03,74,20058,80.17
2025-09-11,BILLER_04,84,25318,101.63
2025-09-11,BILLER_05,68,18651,76.13
2025-09-11,BILLER_06,86,25949,102.03
2025-09-11,BILLER_07,89,31354,120.66
2025-09-11,BILLER_08,90,24942,97.2
2025-09-11,BILLER_09,74,23217,94.59
2025-09-11,BILLER_10,92,29285,117.09
2025-09-12,BILLER_01,80,22576,90.53
2025-09-12,BILLER_02,77,28448,113.95
2025-09-12,BILLER_03,64,16923,68.18
2025-09-12,BILLER_04,86,26001,106.24
2025-09-12,BILLER_05,65,21875,85.17
2025-09-12,BILLER_06,83,22473,84.45
2025-09-12,BILLER_07,86,26037,102.74
2025-09-12,BILLER_08,61,18307,68.15
2025-09-12,BILLER_09,81,22976,91.32000000000001
2025-09-12,BILLER_10,94,32822,133.14
2025-09-13,BILLER_01,86,31587,127.76
2025-09-13,BILLER_02,71,20445,83.86
2025-09-13,BILLER_03,80,22895,87.43
2025-09-13,BILLER_04,101,31671,128.65
2025-09-13,BILLER_05,78,23028,87.8
2025-09-13,BILLER_06,79,26934,114.79
2025-09-13,BILLER_07,99,33604,135.97
2025-09-13,BILLER_08,68,21784,85.7
2025-09-13,BILLER_09,92,24922,102.14
2025-09-13,BILLER_10,69,19548,78.94
2025-09-14,BILLER_01,70,18926,72.96000000000001
2025-09-14,BILLER_02,78,25779,104.68
2025-09-14,BILLER_03,64,19867,79.61
2025-09-14,BILLER_04,77,26559,106.51
2025-09-14,BILLER_05,85,25594,100.76
2025-09-14,BILLER_06,75,23935,97.67999999999999
2025-09-14,BILLER_07,73,19408,75.73
2025-09-14,BILLER_08,81,24047,97.91
2025-09-14,BILLER_09,69,20489,83.85
2025-09-14,BILLER_10,88,26014,102.22
2025-09-15,BILLER_01,75,22279,89.83
2025-09-15,BILLER_02,95,23660,98.17
2025-09-15,BILLER_03,71,21348,85.73
2025-09-15,BILLER_04,69,21102,86.8
2025-09-15,BILLER_05,58,14336,53.13
2025-09-15,BILLER_06,76,20409,83.21
2025-09-15,BILLER_07,74,19015,74.75
2025-09-15,BILLER_08,82,21140,86.37
2025-09-15,BILLER_09,91,29308,118.44
2025-09-15,BILLER_10,93,27671,114.24
2025-09-16,BILLER_01,71,20769,79.92
2025-09-16,BILLER_02,74,22012,84.85
2025-09-16,BILLER_03,88,29307,120.66
2025-09-16,BILLER_04,97,29319,114.14
2025-09-16,BILLER_05,80,29370,115.39
2025-09-16,BILLER_06,70,19213,75.45
2025-09-16,BILLER_07,75,21885,89.19
2025-09-16,BILLER_08,67,20097,79.56
2025-09-16,BILLER_09,79,21019,85.7
2025-09-16,BILLER_10,95,25699,104.9
2025-09-17,BILLER_01,60,17865,76.81
2025-09-17,BILLER_02,87,24601,96.39
2025-09-17,BILLER_03,82,25574,99.69
2025-09-17,BILLER_04,97,25796,104.67
2025-09-17,BILLER_05,88,31126,129.48
2025-09-17,BILLER_06,72,21910,90.11
2025-09-17,BILLER_07,93,29758,120.44
2025-09-17,BILLER_08,82,22444,93.17999999999999
2025-09-17,BILLER_09,69,20924,80.39
2025-09-17,BILLER_10,90,30894,119.26
2025-09-18,BILLER_01,75,22760,91.21
2025-09-18,BILLER_02,80,24487,99.45
2025-09-18,BILLER_03,82,23964,96.27
2025-09-18,BILLER_04,74,21624,85.63
2025-09-18,BILLER_05,61,20031,78.39
2025-09-18,BILLER_06,105,32031,127.98
2025-09-18,BILLER_07,88,27640,106.19
2025-09-18,BILLER_08,86,26709,109.14
2025-09-18,BILLER_09,80,23134,93.79
2025-09-18,BILLER_10,80,20851,86.62
2025-09-19,BILLER_01,77,22699,91.92999999999999
2025-09-19,BILLER_02,63,16152,67.41
2025-09-19,BILLER_03,71,19982,79.8
2025-09-19,BILLER_04,57,22319,85.94
2025-09-19,BILLER_05,78,28661,116.17
2025-09-19,BILLER_06,57,17088,64.45
2025-09-19,BILLER_07,74,17879,71.14
2025-09-19,BILLER_08,76,19304,77.83
2025-09-19,BILLER_09,77,27424,111.46
2025-09-19,BILLER_10,94,29773,117.32
2025-09-20,BILLER_01,81,25551,100.27
2025-09-20,BILLER_02,81,23207,93.49
2025-09-20,BILLER_03,83,24096,95.73
2025-09-20,BILLER_04,94,27471,110.37
2025-09-20,BILLER_05,84,27499,110.73
2025-09-20,BILLER_06,95,31553,124.74
2025-09-20,BILLER_07,68,19380,76.32000000000001
2025-09-20,BILLER_08,88,22462,90.1
2025-09-20,BILLER_09,60,21461,86.24
2025-09-20,BILLER_10,66,21778,87.54
2025-09-21,BILLER_01,77,22032,90.4
2025-09-21,BILLER_02,80,21680,84.4
2025-09-21,BILLER_03,67,19018,77.85
2025-09-21,BILLER_04,83,24871,99.29
2025-09-21,BILLER_05,94,27558,110.16
2025-09-21,BILLER_06,87,25112,100.29
2025-09-21,BILLER_07,86,26130,106.68
2025-09-21,BILLER_08,82,24026,95.86
2025-09-21,BILLER_09,65,19166,77.31
2025-09-21,BILLER_10,82,21565,85.3
2025-09-22,BILLER_01,86,22869,89.38
2025-09-22,BILLER_02,78,25168,98.85
2025-09-22,BILLER_03,72,22026,91.07
2025-09-22,BILLER_04,74,26634,105.42999999999999
2025-09-22,BILLER_05,69,20871,81.84
2025-09-22,BILLER_06,65,17792,71.31
2025-09-22,BILLER_07,85,27836,115.49
2025-09-22,BILLER_08,78,27989,112.56
2025-09-22,BILLER_09,62,19381,77.96
2025-09-22,BILLER_10,82,25782,107.25
2025-09-23,BILLER_01,70,23409,95.99
2025-09-23,BILLER_02,80,26616,104.19
2025-09-23,BILLER_03,76,21241,83.68
2025-09-23,BILLER_04,83,27290,108.5
2025-09-23,BILLER_05,76,18019,74.01
2025-09-23,BILLER_06,75,20708,82.43
2025-09-23,BILLER_07,74,19589,76.92
2025-09-23,BILLER_08,88,23065,92.04
2025-09-23,BILLER_09,81,28055,113.13
2025-09-23,BILLER_10,69,20725,82.78
2025-09-24,BILLER_01,85,22757,91.29
2025-09-24,BILLER_02,65,20180,83.07000000000001
2025-09-24,BILLER_03,74,23819,93.28
2025-09-24,BILLER_04,85,24055,97.11
2025-09-24,BILLER_05,76,24892,100.28
2025-09-24,BILLER_06,71,19840,79.55
2025-09-24,BILLER_07,80,29920,120.53
2025-09-24,BILLER_08,92,24547,99.27
2025-09-24,BILLER_09,90,25281,100.0
2025-09-24,BILLER_10,77,19073,76.02
2025-09-25,BILLER_01,72,19880,77.03999999999999
2025-09-25,BILLER_02,74,23978,98.51
2025-09-25,BILLER_03,74,22932,90.81
2025-09-25,BILLER_04,77,22510,89.07000000000001
2025-09-25,BILLER_05,76,23659,93.47
2025-09-25,BILLER_06,76,28438,112.0
2025-09-25,BILLER_07,71,24461,96.89
2025-09-25,BILLER_08,73,22587,91.19
2025-09-25,BILLER_09,89,23597,96.3
2025-09-25,BILLER_10,75,28306,113.64
2025-09-26,BILLER_01,75,22702,91.41
2025-09-26,BILLER_02,79,22064,92.03
2025-09-26,BILLER_03,102,27545,109.13
2025-09-26,BILLER_04,69,24363,94.31
2025-09-26,BILLER_05,77,20830,84.31
2025-09-26,BILLER_06,87,25298,105.36
2025-09-26,BILLER_07,95,27421,103.69
2025-09-26,BILLER_08,72,23192,93.3
2025-09-26,BILLER_09,81,20542,83.67999999999999
2025-09-26,BILLER_10,75,23073,91.11
2025-09-27,BILLER_01,75,25919,103.11
2025-09-27,BILLER_02,79,25790,104.69
2025-09-27,BILLER_03,81,24443,94.95
2025-09-27,BILLER_04,73,27236,115.72
2025-09-27,BILLER_05,71,21326,88.24
2025-09-27,BILLER_06,88,22884,91.92
2025-09-27,BILLER_07,91,27516,111.22
2025-09-27,BILLER_08,73,19635,78.55
2025-09-27,BILLER_09,83,27287,110.89
2025-09-27,BILLER_10,77,27568,112.18
2025-09-28,BILLER_01,71,24105,93.89
2025-09-28,BILLER_02,80,24095,95.46
2025-09-28,BILLER_03,63,14311,57.86
2025-09-28,BILLER_04,64,21749,86.66
2025-09-28,BILLER_05,79,20970,81.99
2025-09-28,BILLER_06,66,18254,73.3
2025-09-28,BILLER_07,76,23132,89.22
2025-09-28,BILLER_08,69,22592,86.99
2025-09-28,BILLER_09,79,25826,105.35
2025-09-28,BILLER_10,80,21287,86.62
2025-09-29,BILLER_01,67,20926,79.83
2025-09-29,BILLER_02,62,20790,84.05
2025-09-29,BILLER_03,83,22406,89.86
2025-09-29,BILLER_04,76,21987,86.93
2025-09-29,BILLER_05,77,22843,88.57000000000001
2025-09-29,BILLER_06,75,20800,79.71
2025-09-29,BILLER_07,73,24130,96.02
2025-09-29,BILLER_08,78,20048,81.72
2025-09-29,BILLER_09,63,20590,80.17
